Store_ID,Product_ID,Stock_On_Hand
1,114,23
1,120,16
1,139,32
1,48,29
1,34,26
1,165,25
1,154,16
1,85,25
1,55,22
1,22,0
1,35,24
1,160,21
1,87,33
1,41,20
1,132,24
1,153,9
1,66,35
1,136,32
1,2,32
1,64,29
1,129,14
1,149,30
1,68,21
1,81,27
1,80,0
1,121,28
1,169,9
1,51,1
1,170,32
1,98,0
1,150,26
1,73,19
1,125,17
1,134,20
1,118,28
1,131,19
1,43,0
1,127,21
1,40,34
1,79,0
1,135,4
1,26,0
1,93,32
1,46,17
1,50,0
1,155,16
1,24,0
1,59,25
1,82,8
1,124,25
1,148,20
1,88,27
1,10,33
1,175,29
1,11,0
1,172,0
1,16,27
1,119,25
1,60,34
1,107,21
1,143,32
1,103,16
1,177,27
1,15,37
1,14,30
1,49,27
1,104,32
1,18,31
1,142,0
1,95,0
1,102,33
1,167,0
1,21,20
1,47,26
1,94,27
1,78,22
1,32,0
1,158,0
1,44,0
1,179,33
1,6,17
1,126,0
1,33,23
1,56,21
1,145,26
1,63,0
1,166,25
1,77,29
1,3,25
1,1,24
1,101,16
1,130,6
1,72,28
1,97,12
1,20,32
1,58,28
1,92,23
1,173,25
1,115,0
1,67,46
1,106,20
1,110,26
1,90,29
1,137,1
1,91,0
1,162,36
1,54,26
1,108,13
1,61,21
1,161,8
1,31,19
1,70,5
1,180,32
1,4,32
1,45,19
1,89,24
1,71,36
1,168,23
1,116,20
1,163,0
1,65,21
1,146,22
1,164,32
1,8,23
1,178,0
1,38,26
1,176,25
1,29,27
1,5,12
1,138,20
1,27,0
1,7,28
1,74,21
1,156,21
1,157,15
2,23,33
2,117,33
2,15,31
2,153,2
2,106,25
2,173,22
2,95,28
2,166,16
2,28,32
2,77,18
2,13,15
2,145,32
2,16,26
2,48,35
2,152,19
2,44,30
2,90,22
2,116,30
2,43,23
2,60,23
2,79,25
2,50,33
2,164,22
2,84,27
2,3,23
2,149,19
2,157,24
2,159,30
2,179,33
2,83,16
2,61,29
2,89,36
2,1,19
2,94,26
2,131,11
2,68,32
2,69,31
2,168,33
2,118,33
2,63,27
2,126,19
2,52,28
2,19,25
2,174,33
2,56,19
2,33,25
2,134,37
2,107,22
2,128,35
2,139,29
2,163,16
2,161,13
2,104,33
2,39,35
2,49,21
2,102,21
2,123,35
2,80,29
2,138,18
2,21,17
2,111,34
2,140,17
2,146,24
2,154,13
2,158,15
2,165,36
2,171,21
2,167,30
2,141,20
2,64,27
2,155,8
2,62,31
2,105,29
2,91,21
2,45,32
2,10,38
2,71,26
2,132,15
2,12,25
2,113,24
2,6,25
2,31,18
2,170,45
2,27,31
2,178,21
2,137,32
2,101,23
2,76,30
2,122,19
2,100,14
2,17,28
2,34,36
2,38,27
2,41,22
2,42,13
2,148,16
2,18,30
2,70,6
2,75,17
2,133,33
2,121,23
2,98,24
2,143,32
2,58,25
2,26,35
2,4,28
2,22,21
2,73,16
2,103,30
3,138,20
3,70,3
3,13,16
3,52,28
3,157,24
3,19,19
3,139,40
3,171,21
3,98,27
3,176,17
3,118,36
3,77,31
3,178,30
3,80,27
3,174,22
3,64,21
3,48,19
3,158,14
3,137,27
3,90,27
3,154,25
3,140,19
3,27,24
3,135,7
3,112,24
3,33,31
3,57,29
3,78,40
3,81,22
3,89,25
3,116,26
3,143,33
3,65,28
3,166,29
3,151,39
3,43,35
3,120,28
3,102,23
3,108,10
3,180,29
3,71,36
3,30,20
3,146,30
3,46,14
3,29,22
3,99,35
3,16,34
3,68,18
3,161,11
3,10,24
3,11,32
3,110,31
3,47,28
3,23,28
3,142,33
3,91,19
3,129,26
3,86,33
3,83,34
3,1,22
3,5,13
3,124,24
3,144,21
3,67,34
3,125,20
3,17,22
3,75,17
3,168,27
3,101,23
3,162,28
3,150,30
3,38,23
3,69,27
3,128,21
3,2,28
3,148,25
3,133,19
3,88,21
3,167,28
3,26,24
3,15,17
3,21,20
3,40,28
3,18,31
3,126,18
3,145,35
3,109,22
3,42,19
3,39,31
3,173,21
3,95,31
3,34,22
3,117,19
3,66,22
3,36,18
3,130,6
3,156,34
3,113,28
3,50,24
3,107,26
4,155,14
4,6,25
4,170,25
4,88,17
4,145,34
4,61,47
4,69,30
4,37,27
4,70,5
4,107,27
4,3,31
4,137,30
4,59,22
4,169,10
4,133,28
4,120,26
4,147,25
4,30,15
4,121,29
4,47,29
4,144,27
4,75,23
4,19,20
4,46,16
4,24,20
4,23,37
4,76,31
4,15,28
4,44,30
4,160,37
4,22,35
4,90,21
4,8,19
4,178,23
4,111,25
4,57,33
4,138,14
4,161,16
4,51,27
4,116,20
4,1,21
4,172,24
4,115,22
4,101,18
4,82,8
4,112,23
4,49,17
4,74,22
4,42,17
4,150,34
4,77,36
4,29,19
4,41,18
4,35,22
4,102,24
4,18,21
4,48,26
4,64,19
4,127,32
4,104,28
4,26,30
4,72,23
4,84,26
4,98,24
4,108,13
4,114,27
4,123,26
4,153,9
4,106,16
4,173,24
4,45,30
4,53,15
4,13,10
4,180,18
4,85,18
4,39,24
4,58,23
4,126,22
4,81,34
4,119,25
4,113,20
4,140,21
4,124,39
4,55,26
4,129,13
4,154,16
4,71,29
4,159,35
4,86,28
4,27,20
4,109,23
4,157,17
4,94,28
4,63,30
4,122,17
4,38,27
4,36,29
4,100,23
4,135,4
4,52,33
4,17,23
4,40,21
4,103,31
4,105,33
